factor	source	score
location_score	train	0.028786180510502753
location_score	val	0.02874848491580388
location_score	test	0.023625072809655735
education_score	train	0.24832361790765384
education_score	val	0.24528466649461667
education_score	test	0.24988189907067085
event_coverage_score	train	0.000880401340082992
event_coverage_score	val	0.0006735854155058992
event_coverage_score	test	0.0013063112242077113
echo_chamber_score	train	0.5905207982544429
echo_chamber_score	val	0.5859196059466086
echo_chamber_score	test	0.5831814630226273
news_coverage_score	train	0.3776343672495788
news_coverage_score	val	0.37549309664694286
news_coverage_score	test	0.38143333894217285
malicious_account_score	train	0.07334339207337298
malicious_account_score	val	0.0793794043474066
malicious_account_score	test	0.07454476170403129
